SAMPLE_NUMBER,SAMPLED_DATE,SAMPLE_NAME,SAMPLING_POINT_DESCRIPTION,SITE,FACILITY,ANALYTE,FORMATTED_ENTRY,UNITS,DEPTH,Target,Date,Time
1084451,3/24/22 14:01,PL-MAR-MLOWM-A,,Marston WTP MLOW Mid,Marston WTP,Geosmin,5,ng/L,,MLOWM,3/24/22,14:01:00
1058909,3/29/22 9:00,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,4,ng/L,,MLOWM,3/29/22,9:00:00
1086503,3/31/22 8:08,PL-MAR-MLOWM-A-7,,Marston WTP MLOW Mid,Marston WTP,Geosmin,4,ng/L,,MLOWM,3/31/22,8:08:00
1091180,4/7/22 8:47,PL-MAR-MLOWM-A,,Marston WTP MLOW Mid,Marston WTP,Geosmin,3,ng/L,,MLOWM,4/7/22,8:47:00
1074238,4/12/22 8:31,PL-MAR-MLOWM-4,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,3,ng/L,,MLOWM,4/12/22,8:31:00
1074239,4/18/22 10:25,PL-MAR-MLOWM-4,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,3,ng/L,,MLOWM,4/18/22,10:25:00
1088833,5/3/22 12:02,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,2,ng/L,,MLOWM,5/3/22,12:02:00
1106471,5/5/22 14:33,PL-MAR-MLOWM-A-4,,Marston WTP MLOW Mid,Marston WTP,Geosmin,2,ng/L,,MLOWM,5/5/22,14:33:00
1088834,5/10/22 9:42,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,3,ng/L,,MLOWM,5/10/22,9:42:00
1088835,5/17/22 9:11,PL-MAR-MLOWM-A-4,,Marston WTP MLOW Mid,Marston WTP,Geosmin,2,ng/L,,MLOWM,5/17/22,9:11:00
1111687,5/19/22 10:01,PL-MAR-MLOWM-A-4,,Marston WTP MLOW Mid,Marston WTP,Geosmin,2,ng/L,,MLOWM,5/19/22,10:01:00
1088836,5/24/22 9:32,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,2,ng/L,,MLOWM,5/24/22,9:32:00
1114355,5/26/22 15:22,PL-MAR-MLOWM-A-4,,Marston WTP MLOW Mid,Marston WTP,Geosmin,3,ng/L,,MLOWM,5/26/22,15:22:00
1088837,5/31/22 9:01,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,3,ng/L,,MLOWM,5/31/22,9:01:00
1119241,6/2/22 9:07,PL-MAR-MLOWM-A-4,,Marston WTP MLOW Mid,Marston WTP,Geosmin,3,ng/L,,MLOWM,6/2/22,9:07:00
1104131,6/14/22 9:01,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,3,ng/L,,MLOWM,6/14/22,9:01:00
