Date,TOC,TP,Turbidity
12/4/2020,2.799874582,0,0.446186964
12/5/2020,2.767706809,0,0.440240864
12/6/2020,2.734244356,0,0.434439545
12/7/2020,2.700267167,0,0.428853964
12/8/2020,2.666555184,0,0.423555079
12/9/2020,2.633888352,0,0.418613847
12/10/2020,2.603046614,0,0.414101227
12/11/2020,2.574809913,0,0.410088177
12/12/2020,2.549958194,0,0.406645655
12/13/2020,2.529271399,0,0.403844618
12/14/2020,2.513529473,0,0.401756024
12/15/2020,2.503512359,0,0.400450832
12/16/2020,2.5,0,0.4
12/17/2020,2.500986521,0,0.401073627
12/18/2020,2.503839482,0,0.404215836
12/19/2020,2.508398983,0,0.409308621
12/20/2020,2.51450512,0,0.416233977
12/21/2020,2.521997992,0,0.424873895
12/22/2020,2.530717697,0,0.435110371
12/23/2020,2.540504334,0,0.446825397
12/24/2020,2.551198,0,0.459900967
12/25/2020,2.562638794,0,0.474219075
12/26/2020,2.574666814,0,0.489661715
12/27/2020,2.587122157,0,0.50611088
12/28/2020,2.599844923,0,0.523448563
12/29/2020,2.612675209,0,0.541556759
12/30/2020,2.625453113,0,0.56031746
12/31/2020,2.638018733,0,0.579612661
1/1/2021,2.650212169,0,0.599324356
1/2/2021,2.661873517,0,0.619334537
1/3/2021,2.672842876,0,0.639525198
1/4/2021,2.682960344,0,0.659778333
1/5/2021,2.692066019,0,0.679975936
1/6/2021,2.7,0,0.7
1/7/2021,2.707364407,5.29E-05,0.721900208
1/8/2021,2.714854463,0.0002073,0.747627322
1/9/2021,2.722449922,0.00045719,0.776914952
1/10/2021,2.730130538,0.000796362,0.80949671
1/11/2021,2.737876062,0.001218659,0.845106206
1/12/2021,2.745666249,0.001717924,0.883477051
1/13/2021,2.753480851,0.002288,0.924342857
1/14/2021,2.761299622,0.002922729,0.967437234
1/15/2021,2.769102314,0.003615953,1.012493794
1/16/2021,2.776868681,0.004361516,1.059246147
1/17/2021,2.784578475,0.005153259,1.107427905
1/18/2021,2.792211451,0.005985026,1.156772678
1/19/2021,2.799747361,0.006850659,1.207014077
1/20/2021,2.807165957,0.007744,1.257885714
1/21/2021,2.814446995,0.008658892,1.3091212
1/22/2021,2.821570225,0.009589178,1.360454144
1/23/2021,2.828515402,0.0105287,1.411618159
1/24/2021,2.835262279,0.0114713,1.462346855
