Date,"Adjusted TOC, Downstream Strontia","Adjusted TP, Downstream Strontia","Adjusted turbidity, Downstream Strontia"
8/23/2020,3.087376093,0.020605333,1.960237037
8/24/2020,3.113806347,0.021050667,1.98002963
8/25/2020,3.139493498,0.0215,2
8/26/2020,3.164385151,0.021949333,2.01997037
8/27/2020,3.188428912,0.022394667,2.039762963
8/28/2020,3.211572386,0.022832,2.0592
8/29/2020,3.233763178,0.023257333,2.078103704
8/30/2020,3.254948893,0.023666667,2.096296296
8/31/2020,3.275077137,0.024056,2.1136
9/1/2020,3.294095515,0.024421333,2.129837037
9/2/2020,3.311951632,0.024758667,2.14482963
9/3/2020,3.328593094,0.025064,2.1584
9/4/2020,3.343967506,0.025333333,2.17037037
9/5/2020,3.358022473,0.025562667,2.180562963
9/6/2020,3.370705601,0.025748,2.1888
9/7/2020,3.381964494,0.025885333,2.194903704
9/8/2020,3.391746759,0.025970667,2.198696296
9/9/2020,3.4,0.026,2.2
9/10/2020,3.407420004,0.025992142,2.2
9/11/2020,3.414735991,0.025968831,2.2
9/12/2020,3.421945717,0.02593046,2.2
9/13/2020,3.429046935,0.025877424,2.2
9/14/2020,3.436037401,0.025810115,2.2
9/15/2020,3.442914871,0.025728927,2.2
9/16/2020,3.449677098,0.025634254,2.2
9/17/2020,3.456321839,0.02552649,2.2
9/18/2020,3.462846848,0.025406028,2.2
9/19/2020,3.46924988,0.025273262,2.2
9/20/2020,3.475528691,0.025128585,2.2
9/21/2020,3.481681034,0.024972392,2.2
9/22/2020,3.487704667,0.024805075,2.2
9/23/2020,3.493597342,0.024627029,2.2
9/24/2020,3.499356816,0.024438647,2.2
9/25/2020,3.504980843,0.024240323,2.2
9/26/2020,3.510467179,0.02403245,2.2
9/27/2020,3.515813578,0.023815422,2.2
9/28/2020,3.521017795,0.023589633,2.2
9/29/2020,3.526077586,0.023355476,2.2
9/30/2020,3.530990706,0.023113346,2.2
10/1/2020,3.535754909,0.022863634,2.2
10/2/2020,3.540367951,0.022606736,2.2
10/3/2020,3.544827586,0.022343045,2.2
10/4/2020,3.54913157,0.022072955,2.2
10/5/2020,3.553277658,0.021796858,2.2
10/6/2020,3.557263605,0.02151515,2.2
10/7/2020,3.561087165,0.021228223,2.2
10/8/2020,3.564746094,0.020936471,2.2
10/9/2020,3.568238147,0.020640287,2.2
10/10/2020,3.571561078,0.020340067,2.2
10/11/2020,3.574712644,0.020036202,2.2
10/12/2020,3.577690598,0.019729087,2.2
10/13/2020,3.580492696,0.019419115,2.2
10/14/2020,3.583116694,0.01910668,2.2
10/15/2020,3.585560345,0.018792176,2.2
10/16/2020,3.587821405,0.018475996,2.2
10/17/2020,3.589897629,0.018158534,2.2
10/18/2020,3.591786773,0.017840183,2.2
10/19/2020,3.59348659,0.017521338,2.2
10/20/2020,3.594994837,0.017202392,2.2
10/21/2020,3.596309267,0.016883738,2.2
10/22/2020,3.597427637,0.01656577,2.2
10/23/2020,3.598347701,0.016248882,2.2
10/24/2020,3.599067214,0.015933467,2.2
10/25/2020,3.599583932,0.01561992,2.2
10/26/2020,3.599895609,0.015308633,2.2
10/27/2020,3.6,0.015,2.2
10/28/2020,3.595929168,0.014672465,2.200254427
10/29/2020,3.584042337,0.014306199,2.200997354
10/30/2020,3.564828007,0.013904187,2.20219825
10/31/2020,3.538774679,0.013469415,2.203826583
11/1/2020,3.506370853,0.013004867,2.205851822
11/2/2020,3.468105027,0.01251353,2.208243436
11/3/2020,3.424465703,0.011998388,2.210970894
11/4/2020,3.37594138,0.011462428,2.214003664
11/5/2020,3.323020558,0.010908634,2.217311215
11/6/2020,3.266191736,0.010339991,2.220863016
11/7/2020,3.205943415,0.009759485,2.224628537
11/8/2020,3.142764095,0.009170102,2.228577244
11/9/2020,3.077142276,0.008574827,2.232678608
11/10/2020,3.009566456,0.007976644,2.236902096
11/11/2020,2.940525137,0.007378541,2.241217179
11/12/2020,2.870506819,0.0067835,2.245593324
11/13/2020,2.8,0.00619451,2.25
11/14/2020,2.729493181,0.005614553,2.254406676
11/15/2020,2.659474863,0.005046617,2.258782821
11/16/2020,2.590433544,0.004493686,2.263097904
11/17/2020,2.522857724,0.003958745,2.267321392
11/18/2020,2.457235905,0.00344478,2.271422756
11/19/2020,2.394056585,0.002954777,2.275371463
11/20/2020,2.333808264,0.002491721,2.279136984
11/21/2020,2.276979442,0.002058596,2.282688785
11/22/2020,2.22405862,0.001658389,2.285996336
11/23/2020,2.175534297,0.001294084,2.289029106
11/24/2020,2.131894973,0.000968668,2.291756564
11/25/2020,2.093629147,0.000685125,2.294148178
11/26/2020,2.061225321,0.000446441,2.296173417
11/27/2020,2.035171993,0.000255601,2.29780175
11/28/2020,2.015957663,0.000115591,2.299002646
11/29/2020,2.004070832,2.94E-05,2.299745573
11/30/2020,2,0,2.3
12/1/2020,2.001123047,0,2.288769531
12/2/2020,2.004296875,0,2.25703125
12/3/2020,2.009228516,0,2.207714844
12/4/2020,2.015625,0,2.14375
12/5/2020,2.023193359,0,2.068066406
12/6/2020,2.031640625,0,1.98359375
12/7/2020,2.040673828,0,1.893261719
12/8/2020,2.05,0,1.8
12/9/2020,2.059326172,0,1.706738281
12/10/2020,2.068359375,0,1.61640625
12/11/2020,2.076806641,0,1.531933594
12/12/2020,2.084375,0,1.45625
12/13/2020,2.090771484,0,1.392285156
12/14/2020,2.095703125,0,1.34296875
12/15/2020,2.098876953,0,1.311230469
12/16/2020,2.1,0,1.3
12/17/2020,2.099476597,0,1.306586762
12/18/2020,2.097965717,0,1.325483209
12/19/2020,2.095556355,0,1.355393586
12/20/2020,2.092337503,0,1.395022136
12/21/2020,2.088398155,0,1.443073102
12/22/2020,2.083827305,0,1.498250729
12/23/2020,2.078713947,0,1.559259259
12/24/2020,2.073147074,0,1.624802937
12/25/2020,2.06721568,0,1.693586006
12/26/2020,2.061008759,0,1.764312709
12/27/2020,2.054615304,0,1.835687291
12/28/2020,2.048124308,0,1.906413994
12/29/2020,2.041624767,0,1.975197063
12/30/2020,2.035205672,0,2.040740741
12/31/2020,2.028956018,0,2.101749271
1/1/2021,2.022964799,0,2.156926898
1/2/2021,2.017321008,0,2.204977864
1/3/2021,2.012113639,0,2.244606414
1/4/2021,2.007431686,0,2.274516791
1/5/2021,2.003364141,0,2.293413238
1/6/2021,2,0,2.3
1/7/2021,1.997016942,0,2.2990528
1/8/2021,1.994034948,0,2.2962624
1/9/2021,1.991056459,0,2.2917056
1/10/2021,1.988083915,0,2.2854592
1/11/2021,1.985119759,0,2.2776
1/12/2021,1.982166432,0,2.2682048
1/13/2021,1.979226375,0,2.2573504
1/14/2021,1.976302029,0,2.2451136
1/15/2021,1.973395836,0,2.2315712
1/16/2021,1.970510237,0,2.2168
1/17/2021,1.967647673,0,2.2008768
1/18/2021,1.964810586,0,2.1838784
1/19/2021,1.962001418,0,2.1658816
1/20/2021,1.959222608,0,2.1469632
1/21/2021,1.9564766,0,2.1272
1/22/2021,1.953765834,0,2.1066688
1/23/2021,1.951092751,0,2.0854464
1/24/2021,1.948459793,0,2.0636096
1/25/2021,1.945869401,0,2.0412352
1/26/2021,1.943324016,0,2.0184
1/27/2021,1.940826081,0,1.9951808
1/28/2021,1.938378035,0,1.9716544
1/29/2021,1.935982321,0,1.9478976
1/30/2021,1.93364138,0,1.9239872
1/31/2021,1.931357653,0,1.9
2/1/2021,1.929133582,0,1.8760128
2/2/2021,1.926971607,0,1.8521024
2/3/2021,1.92487417,0,1.8283456
2/4/2021,1.922843714,0,1.8048192
2/5/2021,1.920882677,0,1.7816
2/6/2021,1.918993504,0,1.7587648
2/7/2021,1.917178633,0,1.7363904
2/8/2021,1.915440508,0,1.7145536
2/9/2021,1.913781569,0,1.6933312
2/10/2021,1.912204257,0,1.6728
2/11/2021,1.910711014,0,1.6530368
2/12/2021,1.909304282,0,1.6341184
2/13/2021,1.907986501,0,1.6161216
2/14/2021,1.906760113,0,1.5991232
2/15/2021,1.905627559,0,1.5832
2/16/2021,1.904591281,0,1.5684288
2/17/2021,1.90365372,0,1.5548864
2/18/2021,1.902817317,0,1.5426496
2/19/2021,1.902084513,0,1.5317952
2/20/2021,1.901457751,0,1.5224
2/21/2021,1.900939471,0,1.5145408
2/22/2021,1.900532114,0,1.5082944
2/23/2021,1.900238123,0,1.5037376
2/24/2021,1.900059938,0,1.5009472
2/25/2021,1.9,0,1.5
2/26/2021,1.901069077,0,1.503381691
2/27/2021,1.904117188,0,1.512991249
2/28/2021,1.908905653,0,1.528025404
3/1/2021,1.91519579,0,1.547680883
3/2/2021,1.92274892,0,1.571154415
3/3/2021,1.931326361,0,1.597642728
3/4/2021,1.940689433,0,1.626342552
3/5/2021,1.950599455,0,1.656450614
3/6/2021,1.960817747,0,1.687163643
3/7/2021,1.971105628,0,1.717678368
3/8/2021,1.981224418,0,1.747191516
3/9/2021,1.990935435,0,1.774899818
3/10/2021,2,0,1.8
3/11/2021,2.008492227,5.70E-05,1.823089435
3/12/2021,2.016677863,0.000222561,1.845366715
3/13/2021,2.024605678,0.000488955,1.866930401
3/14/2021,2.03232444,0.000848259,1.887879055
3/15/2021,2.039882918,0.001292603,1.908311236
3/16/2021,2.047329881,0.001814113,1.928325506
3/17/2021,2.054714098,0.002404917,1.948020425
3/18/2021,2.062084337,0.003057143,1.967494555
3/19/2021,2.069489367,0.003762917,1.986846456
3/20/2021,2.076977956,0.004514368,2.006174688
3/21/2021,2.084598875,0.005303623,2.025577813
3/22/2021,2.09240089,0.006122809,2.045154391
3/23/2021,2.100432772,0.006964054,2.065002984
3/24/2021,2.108743289,0.007819485,2.085222151
3/25/2021,2.11738121,0.00868123,2.105910454
3/26/2021,2.126395303,0.009541416,2.127166454
3/27/2021,2.135834337,0.010392172,2.149088711
3/28/2021,2.145747082,0.011225623,2.171775787
3/29/2021,2.156182305,0.012033898,2.195326241
3/30/2021,2.167188775,0.012809125,2.219838635
3/31/2021,2.178815263,0.01354343,2.245411529
4/1/2021,2.191110535,0.014228941,2.272143485
4/2/2021,2.204123361,0.014857786,2.300133063
4/3/2021,2.21790251,0.015422092,2.329478824
4/4/2021,2.23249675,0.015913986,2.360279329
4/5/2021,2.24795485,0.016325597,2.392633138
4/6/2021,2.264325579,0.016649051,2.426638812
4/7/2021,2.281657706,0.016876476,2.462394913
4/8/2021,2.3,0.017,2.5
4/9/2021,2.327927604,0.01706795,2.545792895
4/10/2021,2.373029905,0.017133873,2.605242197
4/11/2021,2.433877034,0.017197728,2.677141134
4/12/2021,2.509039124,0.017259472,2.760282935
4/13/2021,2.597086307,0.017319063,2.853460827
4/14/2021,2.696588715,0.017376459,2.95546804
4/15/2021,2.806116479,0.017431618,3.065097802
4/16/2021,2.924239732,0.017484497,3.181143341
4/17/2021,3.049528606,0.017535055,3.302397886
4/18/2021,3.180553233,0.017583248,3.427654664
4/19/2021,3.315883745,0.017629036,3.555706905
4/20/2021,3.454090273,0.017672376,3.685347837
4/21/2021,3.593742951,0.017713225,3.815370687
4/22/2021,3.733411909,0.017751542,3.944568685
4/23/2021,3.87166728,0.017787283,4.071735059
4/24/2021,4.007079197,0.017820408,4.195663038
4/25/2021,4.13821779,0.017850874,4.315145849
4/26/2021,4.263653192,0.017878638,4.428976721
4/27/2021,4.381955535,0.017903659,4.535948882
4/28/2021,4.491694952,0.017925895,4.634855561
4/29/2021,4.591441573,0.017945302,4.724489987
4/30/2021,4.679765531,0.01796184,4.803645387
5/1/2021,4.755236959,0.017975465,4.87111499
5/2/2021,4.816425987,0.017986136,4.925692024
5/3/2021,4.861902749,0.01799381,4.966169719
5/4/2021,4.890237376,0.017998445,4.991341301
5/5/2021,4.9,0.018,5
5/6/2021,4.899748261,0.017990528,5
5/7/2021,4.898997266,0.017962624,5
5/8/2021,4.897753352,0.017917056,5
5/9/2021,4.896022853,0.017854592,5
5/10/2021,4.893812105,0.017776,5
5/11/2021,4.891127444,0.017682048,5
5/12/2021,4.887975205,0.017573504,5
5/13/2021,4.884361723,0.017451136,5
5/14/2021,4.880293334,0.017315712,5
5/15/2021,4.875776374,0.017168,5
