Date ,South Platte Above Cheesman Flowrate (cfs),South Platte Below Cheesman Downstream (cfs) ,"Cheesman Air Temperature, Low (C)","Water Temperature, Cheesman, low (C)","Cheesman Air Temperature, High (C)","Water Temperature, Cheesman, high (C)",Roberts Tunnel Flowrate (cfs),"Strontia Springs Temperature, high (C)","Strontia Springs Temperature, low (C)"
10/10/2012,69.89159781,91.2,0.0,5.9984,23.333333333333332,18.285733333333333,125.0041667,19.444444444444443,2.2222222222222223
10/11/2012,68.54189015,91.0,1.6666666666666665,6.8760666666666665,23.333333333333332,18.285733333333333,94.05,18.333333333333332,1.6666666666666665
10/12/2012,67.2182473,91.5,1.1111111111111112,6.583511111111111,16.666666666666668,14.775066666666667,65.55,20.0,-1.1111111111111112
10/13/2012,65.9201659,91.8,-0.5555555555555556,5.705844444444445,12.222222222222221,12.43462222222222,57.475,12.222222222222221,0.5555555555555556
10/14/2012,64.64715232,92.1,0.0,5.9984,18.88888888888889,15.94528888888889,76.0,18.88888888888889,2.2222222222222223
10/15/2012,63.39872248,92.3,0.5555555555555556,6.290955555555556,25.0,19.1634,97.1375,24.444444444444443,-0.5555555555555556
10/16/2012,62.17440162,92.3,3.333333333333333,7.753733333333333,23.88888888888889,18.57828888888889,142.5,26.666666666666664,-0.5555555555555556
10/17/2012,60.97372416,92.4,-1.6666666666666665,5.120733333333334,14.444444444444445,13.604844444444444,147.25,15.555555555555555,-4.444444444444445
10/18/2012,59.79623352,92.4,-1.6666666666666665,5.120733333333334,17.77777777777778,15.360177777777778,154.375,18.333333333333332,-3.888888888888889
10/19/2012,58.64148192,92.4,-1.1111111111111112,5.413288888888889,22.77777777777778,17.993177777777777,155.325,21.666666666666668,2.7777777777777777
10/20/2012,57.50903024,92.4,3.888888888888889,8.046288888888888,23.88888888888889,18.57828888888889,162.45,25.555555555555554,4.444444444444445
10/21/2012,56.39844784,92.4,0.0,5.9984,22.77777777777778,17.993177777777777,166.25,22.22222222222222,-1.1111111111111112
10/22/2012,55.30931239,92.4,-0.5555555555555556,5.705844444444445,21.666666666666668,17.408066666666667,163.875,21.666666666666668,1.6666666666666665
10/23/2012,54.24120972,92.4,-0.5555555555555556,5.705844444444445,21.11111111111111,17.11551111111111,169.575,24.444444444444443,-1.1111111111111112
10/24/2012,53.19373365,92.4,-3.888888888888889,3.9505111111111115,19.444444444444443,16.23784444444444,166.25,11.11111111111111,-4.444444444444445
10/25/2012,52.16648586,92.4,-5.0,3.3654,1.6666666666666665,6.8760666666666665,149.0708333,1.6666666666666665,-4.444444444444445
10/26/2012,51.1590757,92.5,-5.0,3.3654,5.0,8.6314,123.025,3.333333333333333,-7.222222222222222
10/27/2012,50.17112009,92.4,-3.888888888888889,3.9505111111111115,10.0,11.2644,132.05,8.333333333333334,-7.222222222222222
10/28/2012,49.20224333,92.8,-2.2222222222222223,4.828177777777778,16.666666666666668,14.775066666666667,138.7,8.333333333333334,-2.2222222222222223
10/29/2012,48.25207698,93.5,-1.1111111111111112,5.413288888888889,15.555555555555555,14.189955555555555,115.54375,17.22222222222222,-1.1111111111111112
10/30/2012,47.32025971,94.1,-1.1111111111111112,5.413288888888889,20.0,16.5304,87.1625,18.88888888888889,1.6666666666666665
10/31/2012,46.40643718,94.1,-1.1111111111111112,5.413288888888889,20.0,16.5304,94.525,20.555555555555554,2.2222222222222223
