SAMPLE_NUMBER,SAMPLED_DATE,SAMPLE_NAME,SAMPLING_POINT_DESCRIPTION,SITE,FACILITY,ANALYTE,FORMATTED_ENTRY,UNITS,DEPTH,Target,Date,Time
521779,11/14/18 13:51,RS-MR-01-18,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,5,ng/L,18,MLOWL,11/14/2018,13:51:00
527660,12/17/18 14:10,RS-MR-01-1,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,3.8,ng/L,1,MLOWH,12/17/2018,14:10:00
527671,12/17/18 14:25,RS-MR-01-8,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4.2,ng/L,8,MLOWM,12/17/2018,14:25:00
527678,12/17/18 14:38,RS-MR-01-17,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,3.4,ng/L,17,MLOWL,12/17/2018,14:38:00
533413,1/8/19 14:10,RS-MR-01-1,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,1,MLOWH,1/8/2019,14:10:00
533415,1/8/19 14:12,RS-MR-01-4,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,3,ng/L,4,MLOWM,1/8/2019,14:12:00
533417,1/8/19 14:14,RS-MR-01-10,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,3,ng/L,10,MLOWM,1/8/2019,14:14:00
557174,4/23/19 13:30,RS-MR-01-1,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,1,MLOWH,4/23/2019,13:30:00
557177,4/23/19 13:45,RS-MR-01-5,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,5,MLOWM,4/23/2019,13:45:00
557187,4/23/19 14:05,RS-MR-01-16,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,16,MLOWL,4/23/2019,14:05:00
564111,5/14/19 9:50,RS-MR-01-T,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,1,MLOWH,5/14/2019,9:50:00
564113,5/14/19 10:15,RS-MR-01-B,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,18,MLOWL,5/14/2019,10:15:00
564112,5/14/19 10:15,RS-MR-01-I,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,7,MLOWM,5/14/2019,10:15:00
572956,6/24/19 14:18,RS-MR-01-T-1,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,1,MLOWH,6/24/2019,14:18:00
572955,6/24/19 14:30,RS-MR-01-I-9,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,9,MLOWM,6/24/2019,14:30:00
572954,6/24/19 14:42,RS-MR-01-B-18,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,18,MLOWL,6/24/2019,14:42:00
568921,7/2/19 9:15,RS-MR-01-T-1,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,1,MLOWH,7/2/2019,9:15:00
568944,7/2/19 9:37,RS-MR-01-I-7,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,7,MLOWM,7/2/2019,9:37:00
568963,7/2/19 9:50,RS-MR-01-B-18,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,18,MLOWL,7/2/2019,9:50:00
568932,7/16/19 9:43,RS-MR-01-T-1,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,1,MLOWH,7/16/2019,9:43:00
568953,7/16/19 10:03,RS-MR-01-I-7,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,7,MLOWM,7/16/2019,10:03:00
568972,7/16/19 10:10,RS-MR-01-B-18,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,18,MLOWL,7/16/2019,10:10:00
582229,7/24/19 11:35,RS-MR-01-A-4,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,10,ng/L,4,MLOWM,7/24/2019,11:35:00
582231,7/24/19 11:45,RS-MR-01-A-8,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,8,MLOWM,7/24/2019,11:45:00
582233,7/24/19 11:45,RS-MR-01-A-12,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,3,ng/L,12,MLOWM,7/24/2019,11:45:00
586957,8/1/19 9:08,RS-MR-01-A-4,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,26,ng/L,4,MLOWM,8/1/2019,9:08:00
586959,8/1/19 9:10,RS-MR-01-A-8,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,7,ng/L,8,MLOWM,8/1/2019,9:10:00
586963,8/1/19 9:15,RS-MR-01-A-12,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,5,ng/L,12,MLOWM,8/1/2019,9:15:00
576308,8/20/19 10:10,RS-MR-01-I-6,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,7.9,ng/L,6,MLOWM,8/20/2019,10:10:00
593246,8/22/19 9:02,RS-MR-01-A-8,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2.28,ng/L,8,MLOWM,8/22/2019,9:02:00
586042,9/10/19 11:30,RS-MR-01-T-1,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,10,ng/L,1,MLOWH,9/10/2019,11:30:00
602135,9/10/19 11:35,RS-MR-01-I-6,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,12,ng/L,6,MLOWM,9/10/2019,11:35:00
602987,9/12/19 16:35,RS-MR-01-A-6,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,7,ng/L,6,MLOWM,9/12/2019,16:35:00
602986,9/12/19 16:35,RS-MR-01-A-6,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,11,ng/L,6,MLOWM,9/12/2019,16:35:00
